,E,Eg,a,alpha,b,beta,c,gamma,id,x_Al,x_Ga,x_In,avg_rs_max,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_mass,x_Al_avg,x_Ga_avg,x_In_avg,a_avg,b_avg,c_avg,avg_rs_max_avg,avg_electronegativity_avg,avg_rp_max_avg,avg_LUMO_avg,avg_IP_avg,avg_rd_max_avg,avg_EA_avg,avg_HOMO_avg,avg_mass_avg,vol_avg,alpha_r,beta_r,gamma_r,vol,atomic_density,atomic_density_avg,Al_0_0,Al_1_0,Al_2_0,Al_3_0,Al_4_0,Al_5_0,Ga_0_0,Ga_1_0,Ga_2_0,Ga_3_0,Ga_4_0,Ga_5_0,In_0_0,In_1_0,In_2_0,In_3_0,In_4_0,In_5_0,Natoms_10.0,Natoms_20.0,Natoms_30.0,Natoms_40.0,Natoms_60.0,Natoms_80.0,O_0_0,O_1_0,O_2_0,O_3_0,O_4_0,O_5_0,sg_12,sg_167,sg_194,sg_206,sg_227,sg_33,pca_abc,pca_AlGaInDensity
10,0.0581,3.8723,9.8307,89.9909,4.915,90.0103,13.3346,120.0011,11,0.5833,0.4167,0.0,1.071662,1.69334,1.4291610000000001,0.26882540000000005,-5.795917940000001,2.714135,-0.19454506,-2.7115845000000003,44.791905565380006,0.4368214750542299,0.3233891540130152,0.23978546637744036,5.765269414316704,5.075530585683297,13.676557049891539,1.0751296876355747,1.7154350737527118,1.418641585683297,0.3694417919739696,-5.734158943210412,2.522219164859002,-0.22184866984815615,-2.72916942537961,61.86546515425904,348.4356595074632,1.5706375018329648,1.5709760957078518,2.094414301014967,557.9737490762748,0.10753194052467516,0.09891526459964424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,-0.762546975084313,-0.356891684185221
11,0.259,2.8805,6.1935,90.0189,6.1934,89.99799999999999,23.6522,120.0021,12,0.5938,0.4062,0.0,1.073132,1.69124,1.430946,0.2713244,-5.79551684,2.72411,-0.19610115999999997,-2.7112170000000004,44.34312022068,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5711261940235235,1.5707614202098565,2.0944317543074873,785.7026665336898,0.10181968753261157,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.422797197240422,-0.3645736759518291
12,0.0535,3.9039,4.9323,90.0044,8.4765,90.0024,9.1059,90.0015,13,0.8125,0.1875,0.0,1.1037499999999998,1.6475,1.4681250000000001,0.32337499999999997,-5.7871625,2.931875,-0.22851249999999998,-2.7035625000000003,34.995562612499995,0.40224972170686457,0.26176790352504636,0.3359808905380334,8.910749907235623,8.921999443413728,9.547555287569573,1.0799115807050093,1.7194679424860855,1.4185393320964748,0.4155644439703154,-5.708481991020408,2.4682182337662337,-0.2363877423376623,-2.735388211131726,67.68121382034575,760.385823024777,1.5708731212819844,1.5708382146969444,1.5708225067336763,380.70530203953075,0.1050681453231943,0.09071337255974632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,-1.307999084404091,-0.5247206853653176
13,0.078,2.5371,9.3513,90.0059,9.3512,90.0051,9.3507,89.9933,14,0.125,0.875,0.0,1.0074999999999998,1.785,1.35125,0.15975,-5.8134250000000005,2.27875,-0.126625,-2.727625,64.380317325,0.32528262987012985,0.2900766233766234,0.38463782467532465,9.608416558441558,9.608161363636363,9.60822564935065,1.0740004577922078,1.7333990503246754,1.408372430194805,0.4247372569805195,-5.697750901136363,2.3843918652597407,-0.23492654123376627,-2.7406082917207795,73.16498399901016,890.8166575026524,1.5708993012207642,1.5708853385867483,1.5706793897350129,817.6801447853651,0.09783776762856264,0.09094864558663471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1.7761394656468645,-0.021282564365119373
14,0.39,0.9251,6.6318,90.0152,6.6314,90.0071,24.4597,119.9918,15,0.375,0.125,0.5,1.0925,1.7200000000000002,1.42375,0.5017499999999999,-5.663475,2.40625,-0.265875,-2.744875,76.242451975,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5710616168411997,1.5709202451717879,2.0942519853945316,931.6531314191272,0.08586886825372567,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.63972414658565,0.1364662019471542
15,0.166,1.5852,24.3679,89.9997,6.2545,104.8418,6.1721,90.0001,16,0.4375,0.1875,0.375,1.08875,1.7112500000000002,1.426875,0.446,-5.696187500000001,2.493125,-0.2495875,-2.7361875,67.9342356375,0.31552373626373625,0.3905197802197801,0.29395450549450547,21.532853186813185,5.489223076923077,6.113952307692308,1.0635668153846154,1.7380730373626372,1.4012736747252748,0.37117868769230766,-5.7235930596043945,2.3950732857142856,-0.2149447048131868,-2.73623689956044,69.49279491734809,744.7297170064376,1.5707910908071407,1.829834603717391,1.5707980721241486,909.2995296160015,0.08797981016638612,0.08861854994031088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,14.776922177059827,0.005497896465321809
16,0.2544,2.2913,6.1239,90.0089,6.1235,90.00299999999999,23.4577,120.0051,17,0.9062,0.0625,0.0312,1.119889,1.627643,1.4857930000000001,0.36329059999999996,-5.774240380000001,3.01381,-0.24876531,-2.7016322,32.39067937932,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5709516610983238,1.570848686672456,2.094484114185047,761.76592261021,0.10501913727760097,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.34303185444886,-0.5720706889653162
17,0.0503,1.1844,24.765,90.0003,6.5014,105.241,6.486000000000001,90.0,18,0.0,0.4062,0.5938,1.0493800000000002,1.792186,1.365628,0.465497,-5.65146096,2.029364,-0.22947272,-2.7628776,96.500411,0.31552373626373625,0.3905197802197801,0.29395450549450547,21.532853186813185,5.489223076923077,6.113952307692308,1.0635668153846154,1.7380730373626372,1.4012736747252748,0.37117868769230766,-5.7235930596043945,2.3950732857142856,-0.2149447048131868,-2.73623689956044,69.49279491734809,744.7297170064376,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0.08861854994031088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,14.860586852148941,0.4750098617972077
18,0.1919,2.5669999999999997,5.0862,89.9942,5.0858,90.0065,13.6981,120.001,19,0.4167,0.3333,0.25,1.073338,1.71916,1.4158389999999998,0.3704246,-5.73208206,2.5008649999999997,-0.22095494,-2.7304155000000003,63.18638303461999,0.4368214750542299,0.3233891540130152,0.23978546637744036,5.765269414316704,5.075530585683297,13.676557049891539,1.0751296876355747,1.7154350737527118,1.418641585683297,0.3694417919739696,-5.734158943210412,2.522219164859002,-0.22184866984815615,-2.72916942537961,61.86546515425904,348.4356595074632,1.5706950976982808,1.5709097731962762,2.0944125556857154,306.85930378876384,0.09776467465575506,0.09891526459964424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,-4.461511581441508,-0.06448567401431596
19,0.2063,1.5596,12.2649,90.0,3.1889,105.0943,6.3388,90.0001,20,0.25,0.25,0.5,1.0750000000000002,1.745,1.4024999999999999,0.472,-5.6682500000000005,2.2874999999999996,-0.24735,-2.74925,81.58513465,0.31552373626373625,0.3905197802197801,0.29395450549450547,21.532853186813185,5.489223076923077,6.113952307692308,1.0635668153846154,1.7380730373626372,1.4012736747252748,0.37117868769230766,-5.7235930596043945,2.3950732857142856,-0.2149447048131868,-2.73623689956044,69.49279491734809,744.7297170064376,1.5707963267948966,1.8342415600786768,1.5707980721241486,239.36661798834805,0.08355383957914117,0.08861854994031088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,5.732676796685482,0.22800384947509736
20,0.0918,1.1365,10.9377,89.9988,9.3249,89.99799999999999,9.9463,90.0,21,0.0,0.375,0.625,1.0525,1.79125,1.3675,0.48312499999999997,-5.6427,2.0225,-0.23585,-2.7645,97.907375,0.40224972170686457,0.26176790352504636,0.3359808905380334,8.910749907235623,8.921999443413728,9.547555287569573,1.0799115807050093,1.7194679424860855,1.4185393320964748,0.4155644439703154,-5.708481991020408,2.4682182337662337,-0.2363877423376623,-2.735388211131726,67.68121382034575,760.385823024777,1.5707753828438729,1.5707614202098565,1.5707963267948966,1014.4525645756647,0.07886026690017112,0.09071337255974632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,2.5235482596286625,0.49627483313326853
21,0.0566,3.9691,4.9153,89.9909,4.915,90.0103,13.3346,120.0011,22,0.5833,0.4167,0.0,1.071662,1.69334,1.4291610000000001,0.26882540000000005,-5.795917940000001,2.714135,-0.19454506,-2.7115845000000003,44.791905565380006,0.4368214750542299,0.3233891540130152,0.23978546637744036,5.765269414316704,5.075530585683297,13.676557049891539,1.0751296876355747,1.7154350737527118,1.418641585683297,0.3694417919739696,-5.734158943210412,2.522219164859002,-0.22184866984815615,-2.72916942537961,61.86546515425904,348.4356595074632,1.5706375018329648,1.5709760957078518,2.094414301014967,278.98403662349716,0.10753303437388603,0.09891526459964424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,-4.3436566741545,-0.356891684185221
22,0.2027,2.9122,5.0674,89.9903,5.0672,90.0102,13.6668,120.0016,23,0.6667,0.0,0.3333,1.116668,1.666661,1.4633369999999999,0.47698909999999994,-5.69914142,2.720039,-0.27503145999999995,-2.7259971,56.257431184619996,0.4368214750542299,0.3233891540130152,0.23978546637744036,5.765269414316704,5.075530585683297,13.676557049891539,1.0751296876355747,1.7154350737527118,1.418641585683297,0.3694417919739696,-5.734158943210412,2.522219164859002,-0.22184866984815615,-2.72916942537961,61.86546515425904,348.4356595074632,1.5706270298574532,1.5709743503786,2.0944230276612275,303.90909190279297,0.09871372985970314,0.09891526459964424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,-4.454481977982611,-0.19077383288085595
23,0.2753,1.1811,6.5405,90.0046,6.5403,90.0031,24.3429,119.9922,24,0.1562,0.5625,0.2812,1.039889,1.770143,1.373293,0.3260406,-5.732690379999999,2.2463100000000003,-0.18871531,-2.7408821999999997,75.72052542931999,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5708766119404882,1.5708504320017085,2.0942589667115397,901.8736361368143,0.08870422284731694,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.629694396144272,0.1475439567051094
24,0.0916,4.0371,4.9172,89.9883,4.917,90.0127,13.3449,120.0015,25,0.75,0.1667,0.0833,1.10333,1.6575010000000001,1.462498,0.3555645,-5.76615936,2.854174,-0.23627652,-2.7100816000000005,41.42331745,0.4368214750542299,0.3233891540130152,0.23978546637744036,5.765269414316704,5.075530585683297,13.676557049891539,1.0751296876355747,1.7154350737527118,1.418641585683297,0.3694417919739696,-5.734158943210412,2.522219164859002,-0.22184866984815615,-2.72916942537961,61.86546515425904,348.4356595074632,1.5705921232724132,1.5710179836098999,2.094421282331975,279.4199810967155,0.10736526386642377,0.09891526459964424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,-4.34924426158111,-0.4221814211506468
25,0.1783,3.3353,4.987,90.0055,8.5565,90.0021,9.1881,90.001,26,0.875,0.0,0.125,1.125,1.63125,1.48625,0.408875,-5.749675,2.96375,-0.263325,-2.707875,37.961096275,0.40224972170686457,0.26176790352504636,0.3359808905380334,8.910749907235623,8.921999443413728,9.547555287569573,1.0799115807050093,1.7194679424860855,1.4185393320964748,0.4155644439703154,-5.708481991020408,2.4682182337662337,-0.2363877423376623,-2.735388211131726,67.68121382034575,760.385823024777,1.570892319903756,1.5708329787091884,1.5708137800874167,392.06785241107656,0.10202315684393494,0.09071337255974632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,-1.321434717212056,-0.485283225456125
26,0.3518,0.976,6.0436,90.0159,6.0427,90.0033,14.2577,120.0023,27,0.4375,0.25,0.3125,1.0825,1.7131250000000002,1.423125,0.4106875,-5.7137375,2.506875,-0.23681249999999998,-2.7329375000000002,65.11579813750001,0.4269547325102881,0.292309670781893,0.28073559670781895,8.549607613168725,5.955061522633744,14.56143230452675,1.0778472222222222,1.7161869855967078,1.4194264403292183,0.39023083847736617,-5.723059773662552,2.5038451646090536,-0.2287570473251029,-2.7316548353909464,64.1341025144033,450.78077325527073,1.5710738341459638,1.5708539226602123,2.0944352449659913,450.91715310589876,0.08870809133004068,0.08964366854811766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,-4.111625016941716,-0.037105419170888464
27,0.2237,1.9672,9.7899,90.5713,5.6664,90.6612,13.9461,30.2512,28,0.875,0.125,0.0,1.1124999999999998,1.6350000000000002,1.47875,0.33825,-5.784775,2.99125,-0.237775,-2.701375,32.324221275,0.4269547325102881,0.292309670781893,0.28073559670781895,8.549607613168725,5.955061522633744,14.56143230452675,1.0778472222222222,1.7161869855967078,1.4194264403292183,0.39023083847736617,-5.723059773662552,2.5038451646090536,-0.2287570473251029,-2.7316548353909464,64.1341025144033,450.78077325527073,1.58076739281154,1.5823364438090828,0.5279830426793086,389.7271545897766,0.10263590701577788,0.08964366854811766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,-1.1829456101638067,-0.5704867400577543
28,0.1898,1.1496,24.717,90.0001,6.3698,104.8049,6.2742,90.0001,29,0.0938,0.5,0.4062,1.043752,1.7790540000000001,1.3703180000000001,0.3818274,-5.70055588,2.159746,-0.20502844,-2.7498394,84.03143992068,0.31552373626373625,0.3905197802197801,0.29395450549450547,21.532853186813185,5.489223076923077,6.113952307692308,1.0635668153846154,1.7380730373626372,1.4012736747252748,0.37117868769230766,-5.7235930596043945,2.3950732857142856,-0.2149447048131868,-2.73623689956044,69.49279491734809,744.7297170064376,1.5707980721241486,1.829190577223405,1.5707980721241486,955.0305089551257,0.08376695744257003,0.08861854994031088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,14.965656091840923,0.27844752474281415
29,0.2106,3.3923,9.2018,90.00200000000001,9.2011,90.00299999999999,9.2015,89.9991,30,0.8125,0.0312,0.1562,1.119271,1.642633,1.477364,0.411615,-5.74271972,2.8972949999999997,-0.26042897,-2.7114117,42.0324293125,0.32528262987012985,0.2900766233766234,0.38463782467532465,9.608416558441558,9.608161363636363,9.60822564935065,1.0740004577922078,1.7333990503246754,1.408372430194805,0.4247372569805195,-5.697750901136363,2.3843918652597407,-0.23492654123376627,-2.7406082917207795,73.16498399901016,890.8166575026524,1.5708312333799366,1.570848686672456,1.5707806188316287,779.0604726003296,0.10268779230061294,0.09094864558663471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1.7637625950417182,-0.41825096124238287
30,0.3269,1.546,6.5261,90.0123,6.5257,90.0054,24.2821,119.9935,31,0.3438,0.3125,0.3438,1.072611,1.7311070000000002,1.409207,0.4060844,-5.70910962,2.41119,-0.22933468999999998,-2.7381178,70.53911887068,0.40187539503386005,0.31602686230248306,0.2820941309255079,6.317795711060948,6.317503160270881,23.61387223476298,1.0744683927765237,1.7211555598194133,1.4152396613995486,0.38502905846501123,-5.723615314130926,2.479713115124153,-0.225317583476298,-2.732593388713319,65.26704132841733,841.7765745239474,1.5710110022928918,1.570890574574504,2.0942816559918156,895.6248268863394,0.08932311566007149,0.09202309636149705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,-10.599134019220081,0.0528431907367672
31,0.2721,0.4095,10.4296,96.7363,6.1786,97.9868,15.1318,32.4294,32,0.0,0.25,0.75,1.0650000000000002,1.7875,1.375,0.55375,-5.607600000000001,1.995,-0.2614,-2.771,103.54425,0.4269547325102881,0.292309670781893,0.28073559670781895,8.549607613168725,5.955061522633744,14.56143230452675,1.0778472222222222,1.7161869855967078,1.4194264403292183,0.39023083847736617,-5.723059773662552,2.5038451646090536,-0.2287570473251029,-2.7316548353909464,64.1341025144033,450.78077325527073,1.6883669411969906,1.7101922834931798,0.5659998044462491,517.833963056408,0.07724483686606468,0.08964366854811766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,-1.5091095520633537,0.5814804849003157
